Title,Price,Bedrooms,Location,URL,Apartment_Name
ago1brBuffalo,1250.0,1.0,<1hr ago1brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-1br-richmond-ave/7885335595.html,Unnamed - <1hr ago1brBuffalo
ny,1500.0,2.0,<1hr ago2brHamburg ny,https://buffalo.craigslist.org/apa/d/athol-springs-all-utilities-2br-patio/7885335414.html,Unnamed - <1hr ago2brHamburg ny
ago2brTonawanda,1385.0,2.0,Tonawanda,https://buffalo.craigslist.org/apa/d/tonawanda-huge-bed-apt-with-amenities/7885319551.html,Unnamed - Tonawanda
NY,1214.0,2.0,"1710 Calumet Ave, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-2bd-15ba-air-conditioner/7882740911.html,"Apartment at 1710 Calumet Ave, Niagara Falls, NY"
ago1brBuffalo,1250.0,1.0,Buffalo,https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-1br-richmond-ave/7885283603.html,Unnamed - Buffalo
NY,1145.0,3.0,"224 Niagara St, Buffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-bd-located-in-buffalo-fully/7885281954.html,"Apartment at 224 Niagara St, Buffalo, NY"
ago1brAmherst,1149.0,1.0,Amherst,https://buffalo.craigslist.org/apa/d/north-tonawanda-bed-apt-with-amenities/7885281395.html,Unnamed - Amherst
ago2brAmherst,1585.0,2.0,Amherst,https://buffalo.craigslist.org/apa/d/buffalo-bed-apartment-with-amenities-in/7885278283.html,Unnamed - Amherst
District,1150.0,1.0,Delaware District,https://buffalo.craigslist.org/apa/d/buffalo-gorgeous-bed-available-at-the/7876413319.html,Unnamed - Delaware District
DT,1635.0,2.0,Heart of Elmwood Village- Close to Area Colleges + DT,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7878776829.html,Unnamed - Heart of Elmwood Village- Close to Area Colleges + DT
DT!,2025.0,2.0,Delaware Ave District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-terrific-views-from-the/7879062887.html,Unnamed - Delaware Ave District-Close to Medical Campus and DT!
ago3br,1100.0,3.0,,https://buffalo.craigslist.org/apa/d/niagara-falls-three-bedroom-one/7885244806.html,Unnamed - 
NY,1300.0,2.0,"Derby, Evans NY",https://buffalo.craigslist.org/apa/d/derby-all-utilities-except-elec-2br/7885224573.html,"Unnamed - Derby, Evans NY"
ago2brAmherst,1363.0,2.0,Amherst,https://buffalo.craigslist.org/apa/d/buffalo-pet-friendly/7885216591.html,Unnamed - Amherst
DT!,1695.0,1.0,Main St District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-unique-1br-apartment-available/7876961395.html,Unnamed - Main St District-Close to Medical Campus and DT!
DT,1635.0,2.0,Elmwood Village..-Close to BNMC and DT,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7883293641.html,Unnamed - Elmwood Village..-Close to BNMC and DT
NY,995.0,2.0,Locport NY,https://buffalo.craigslist.org/apa/d/lockport-2br-lockport-all-utilities/7885201226.html,Unnamed - Locport NY
NY,1500.0,2.0,Hamburg NY,https://buffalo.craigslist.org/apa/d/athol-springs-all-utilities-2br-patio/7885201558.html,Unnamed - Hamburg NY
ago1brLackawanna,1100.0,1.0,Lackawanna,https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-1br-south-park-ave/7885201500.html,Unnamed - Lackawanna
9/302brAmherst,1395.0,2.0,9/302brAmherst,https://buffalo.craigslist.org/apa/d/buffalo-bedroom-upper-apt-with-outdoor/7880694070.html,Unnamed - 9/302brAmherst
NY,1407.0,3.0,"9/303br3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-nearby-damelio-park-fully/7882703674.html,"Apartment at 9/303br3100 9th St, Niagara Falls, NY"
NY,1145.0,3.0,"9/303br224 Niagara St, Buffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-located-in-buffalo-3bd-2ba/7883836577.html,"Apartment at 9/303br224 Niagara St, Buffalo, NY"
9/293br,1800.0,3.0,9/293br,https://buffalo.craigslist.org/apa/d/hamburg-walking-distance-to-main-st-in/7885148916.html,Unnamed - 9/293br
2,1200.0,2.0,9/292br183 Wabash Ave FLOOR 2,https://buffalo.craigslist.org/apa/d/buffalo-wonderful-bedroom-bathroom/7885116887.html,Apartment at 9/292br183 Wabash Ave FLOOR 2
NY,1407.0,3.0,"9/293br3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-3bd-15ba-spacious-closets/7880518716.html,"Apartment at 9/293br3100 9th St, Niagara Falls, NY"
DT,1219.0,2.0,"9/292brGrant Street Corridor-Near Buff St, Elmwood Village & DT",https://buffalo.craigslist.org/apa/d/buffalo-huge-bedroom-at-lafayette/7879210623.html,"Unnamed - 9/292brGrant Street Corridor-Near Buff St, Elmwood Village & DT"
DT!,2025.0,2.0,9/292brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-great-views-at-the-delaware-2/7883671609.html,Unnamed - 9/292brDelaware District-Close to Medical Campus and DT!
9/292brBuffalo,800.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-rear-lower-apartment-bedroom-in/7885090463.html,Unnamed - 9/292brBuffalo
Rock,1700.0,2.0,9/292brBlack Rock,https://buffalo.craigslist.org/apa/d/buffalo-25-bedroom-house-for-rent-fully/7885085748.html,Unnamed - 9/292brBlack Rock
9/292brAmherst,1730.0,2.0,9/292brAmherst,https://buffalo.craigslist.org/apa/d/buffalo-updated-bedroom-senior/7885084796.html,Unnamed - 9/292brAmherst
9/293brDepew,1595.0,3.0,9/293brDepew,https://buffalo.craigslist.org/apa/d/depew-bd-15-ba-garage-parking-and-walk/7880547159.html,Unnamed - 9/293brDepew
9/292brDepew,1080.0,2.0,9/292brDepew,https://buffalo.craigslist.org/apa/d/depew-bedroom-in-depew-first-floor/7883646656.html,Unnamed - 9/292brDepew
Ny,1495.0,2.0,9/292brWilliamsville Ny,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-apartment-near-maple/7885055749.html,Unnamed - 9/292brWilliamsville Ny
9/294br,1800.0,4.0,9/294br,https://buffalo.craigslist.org/apa/d/buffalo-br-15-ba-house-for-rent-in-town/7885057668.html,Unnamed - 9/294br
9/292brBuffalo,1200.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-upper-available-month/7874373091.html,Unnamed - 9/292brBuffalo
Seneca,850.0,1.0,9/291brWest Seneca,https://buffalo.craigslist.org/apa/d/buffalo-upper-rear-apartment-imediately/7881205082.html,Unnamed - 9/291brWest Seneca
9/292brCheektowaga,1110.0,2.0,9/292brCheektowaga,https://buffalo.craigslist.org/apa/d/buffalo-55-community-with-resort-style/7881613325.html,Unnamed - 9/292brCheektowaga
Falls,945.0,2.0,9/292brNiagara Falls,https://buffalo.craigslist.org/apa/d/niagara-falls-spacious-bedroom/7884994784.html,Unnamed - 9/292brNiagara Falls
NY,1575.0,2.0,9/292brAmherst NY,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-town-house-on-denrose/7884996481.html,Unnamed - 9/292brAmherst NY
NY,1214.0,2.0,"9/292br1710 Calumet Ave, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-patio-or-balcony-air/7884984389.html,"Apartment at 9/292br1710 Calumet Ave, Niagara Falls, NY"
DT!,1635.0,2.0,9/292brDelaware Ave District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7880188354.html,Unnamed - 9/292brDelaware Ave District-Close to Medical Campus and DT!
DT!,2315.0,2.0,9/292brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-unique-25-multi-level-loft-unit/7878465759.html,Unnamed - 9/292brDelaware District-Close to Medical Campus and DT!
DT!,1830.0,1.0,9/291brMain St District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-unique-bedroom-at-nickle-city/7879918896.html,Unnamed - 9/291brMain St District-Close to Medical Campus and DT!
St,1200.0,3.0,9/293brLandon St,https://buffalo.craigslist.org/apa/d/buffalo-bedroom-lower-convenient/7875691699.html,Unnamed - 9/293brLandon St
Falls,850.0,1.0,9/291brNiagara Falls,https://buffalo.craigslist.org/apa/d/niagara-falls-850-1br-best-bedroom/7884973716.html,Unnamed - 9/291brNiagara Falls
Village,1050.0,1.0,9/291brHamburg Village,https://buffalo.craigslist.org/apa/d/hamburg-very-nice-bedroom-201-main-st/7884135801.html,Unnamed - 9/291brHamburg Village
DT!,1635.0,2.0,9/292brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7884970783.html,Unnamed - 9/292brDelaware District-Close to Medical Campus and DT!
buffalo,1400.0,4.0,9/294brSouth buffalo,https://buffalo.craigslist.org/apa/d/buffalo-whole-house/7884956240.html,Unnamed - 9/294brSouth buffalo
9/292brTonawanda,1295.0,2.0,9/292brTonawanda,https://buffalo.craigslist.org/apa/d/buffalo-bed-apt-with-amenities-on/7884949946.html,Unnamed - 9/292brTonawanda
9/293brTonawanda,1335.0,3.0,9/293brTonawanda,https://buffalo.craigslist.org/apa/d/buffalo-updated-duplex-with-driveway-in/7884948770.html,Unnamed - 9/293brTonawanda
9/291brBuffalo,1200.0,1.0,9/291brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-cozy-1bed-on-hertel-ave/7884379632.html,Unnamed - 9/291brBuffalo
9/292brBuffalo,1300.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-bedroom-bathroom/7884939588.html,Unnamed - 9/292brBuffalo
9/282brBuffalo,1300.0,2.0,9/282brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-upper-available-month/7884869993.html,Unnamed - 9/282brBuffalo
Lewiston,2000.0,1.0,9/281brVillage of Lewiston,https://buffalo.craigslist.org/apa/d/lewiston-sweet-historic-3bdrm-home/7880756869.html,Unnamed - 9/281brVillage of Lewiston
9/283br,1500.0,3.0,9/283br,https://buffalo.craigslist.org/apa/d/buffalo-blum-lower/7884825461.html,Unnamed - 9/283br
NY,1600.0,2.0,"9/282brBuffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-newly-renovated-bedroom/7878218985.html,"Unnamed - 9/282brBuffalo, NY"
9/282brBuffalo,900.0,2.0,9/282brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-apt-2nd-fl-for-rent/7884769669.html,Unnamed - 9/282brBuffalo
9/283brHertel,1650.0,3.0,9/283brHertel,https://buffalo.craigslist.org/apa/d/buffalo-hertel-area-bedroom-bath-off/7884765509.html,Unnamed - 9/283brHertel
9/281brLockport,1100.0,1.0,9/281brLockport,https://buffalo.craigslist.org/apa/d/lockport-one-bedroom-apartment/7882237459.html,Unnamed - 9/281brLockport
ago2brTonawanda,1295.0,2.0,<1hr ago2brTonawanda,https://buffalo.craigslist.org/apa/d/buffalo-bed-apt-with-amenities-on/7885321195.html,Unnamed - <1hr ago2brTonawanda
ago3brTonawanda,1335.0,3.0,Tonawanda,https://buffalo.craigslist.org/apa/d/buffalo-updated-duplex-with-driveway-in/7885318144.html,Unnamed - Tonawanda
ago3br,1800.0,3.0,,https://buffalo.craigslist.org/apa/d/buffalo-43-park-ave-floor-buffalo-ny/7885312778.html,Unnamed - 
RD,995.0,2.0,6347 Robinson RD,https://buffalo.craigslist.org/apa/d/2br-all-utilities-except-electric/7885283671.html,Apartment at 6347 Robinson RD
District,1500.0,2.0,Delaware District,https://buffalo.craigslist.org/apa/d/buffalo-gorgeous-bed-apartment-on/7885285386.html,Unnamed - Delaware District
ago2brAmherst,1430.0,2.0,Amherst,https://buffalo.craigslist.org/apa/d/buffalo-2nd-month-free-special-on-huge/7885277475.html,Unnamed - Amherst
ago2brAmherst,1730.0,2.0,Amherst,https://buffalo.craigslist.org/apa/d/buffalo-senior-apartment-available-now/7885276290.html,Unnamed - Amherst
Richmond,1350.0,2.0,626 Richmond,https://buffalo.craigslist.org/apa/d/buffalo-elmwood-village/7875375227.html,Apartment at 626 Richmond
St....,1485.0,2.0,Heart of Village of Williamsville! Steps to Main St....,https://buffalo.craigslist.org/apa/d/buffalo-wonderful-views-at-glen-park/7883295121.html,Unnamed - Heart of Village of Williamsville! Steps to Main St....
NY,1228.0,2.0,"3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-bd-washer-dryer-hookup/7885235900.html,"Apartment at 3100 9th St, Niagara Falls, NY"
NY,1407.0,3.0,"3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-community-laundry-suites/7885226147.html,"Apartment at 3100 9th St, Niagara Falls, NY"
ago1brEllicottville,1200.0,1.0,Ellicottville,https://buffalo.craigslist.org/apa/d/ellicottville-bed-bath-newly-built/7885211179.html,Unnamed - Ellicottville
DT!,1199.0,2.0,Delaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-terrific-bedroom-available-now/7876963039.html,Unnamed - Delaware District-Close to Medical Campus and DT!
Houirly,1.0,,ðŸŒŸFlat Rates-Not Houirly,https://buffalo.craigslist.org/apa/d/buffalo-for-rent-absolute-best/7882898776.html,Unnamed - ðŸŒŸFlat Rates-Not Houirly
ago3brBuffalo,1300.0,3.0,Buffalo,https://buffalo.craigslist.org/apa/d/buffalo-3bdrm-bathroom-apt-for-rent/7885201020.html,Unnamed - Buffalo
NY,1214.0,2.0,"9/302br1710 Calumet Ave, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-2bd-15ba-spacious-closets/7883804290.html,"Apartment at 9/302br1710 Calumet Ave, Niagara Falls, NY"
NY,1228.0,2.0,"9/302br3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-bd-walking-distance-to/7884172024.html,"Apartment at 9/302br3100 9th St, Niagara Falls, NY"
NY,900.0,2.0,"9/292brBuffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-160-hagen-street-lower-two/7881727228.html,"Unnamed - 9/292brBuffalo, NY"
9/293br,2150.0,3.0,9/293br,https://buffalo.craigslist.org/apa/d/east-aurora-village-of-east-aurora-one/7879212348.html,Unnamed - 9/293br
DT,1144.0,1.0,9/291brHeart of Elmwood Village- Close to Area Colleges + DT,https://buffalo.craigslist.org/apa/d/buffalo-cozy-bedroom-now-available-on/7880469733.html,Unnamed - 9/291brHeart of Elmwood Village- Close to Area Colleges + DT
DT!,1695.0,1.0,9/291brDelaware District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-unique-bedroom-at-nickle-city/7881611872.html,Unnamed - 9/291brDelaware District-Close to Medical Campus and DT!
DT,1635.0,2.0,9/292brHeart of Elmwood Village- Close to Area Colleges + DT,https://buffalo.craigslist.org/apa/d/buffalo-victorian-charm-at-the-windsor/7878532733.html,Unnamed - 9/292brHeart of Elmwood Village- Close to Area Colleges + DT
